,,,,,,,,,,,,,
Admiterea la tratament ca urmare a consumului de droguri,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și regimul de tratament",,,,,,,,,,,,,
,regim ambulatoriu,regim internare,tratament în inchisori,Total,,,,,,,,,
1. Opioide (Total),404,412,22,838,,,,,,,,,
2. Cocaine (Total),74,21,0,95,,,,,,,,,
3. Stimulants other than cocaine (Total),94,25,0,119,,,,,,,,,
4. Hipnotice și sedative (Total),4,43,0,47,,,,,,,,,
5. Halucinogene (Total),8,7,0,15,,,,,,,,,
6. Substanțe volatile/ inhalanți,1,15,0,16,,,,,,,,,
7. Canabis (Total),1615,311,1,1927,,,,,,,,,
8. Alte substanțe (Total),111,272,0,383,,,,,,,,,
TOTAL,2311,1106,23,3440,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și sex",,,,,,,,,,,,,
,Masculin,Feminin,Total,,,,,,,,,,
1. Opioide (Total),696,142,838,,,,,,,,,,
2. Cocaine (Total),87,8,95,,,,,,,,,,
3. Stimulants other than cocaine (Total),107,12,119,,,,,,,,,,
4. Hipnotice și sedative (Total),25,22,47,,,,,,,,,,
5. Halucinogene (Total),14,1,15,,,,,,,,,,
6. Substanțe volatile/ inhalanți,14,2,16,,,,,,,,,,
7. Canabis (Total),1747,180,1927,,,,,,,,,,
8. Alte substanțe (Total),334,49,383,,,,,,,,,,
TOTAL,3024,416,3440,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și categoria de vârstă",,,,,,,,,,,,,
,<15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total
1. Opioide (Total),1,15,59,95,240,241,140,29,13,1,2,2,838
2. Cocaine (Total),0,4,20,21,21,14,11,2,1,1,0,0,95
3. Stimulants other than cocaine (Total),1,11,44,33,18,5,5,2,0,0,0,0,119
4. Hipnotice și sedative (Total),1,2,5,4,3,8,6,2,6,2,2,6,47
5. Halucinogene (Total),0,4,4,3,3,1,0,0,0,0,0,0,15
6. Substanțe volatile/ inhalanți,2,3,2,4,3,2,0,0,0,0,0,0,16
7. Canabis (Total),16,308,703,419,328,102,34,12,5,0,0,0,1927
8. Alte substanțe (Total),12,80,93,84,70,29,10,4,1,0,0,0,383
TOTAL,33,427,930,663,686,402,206,51,26,4,4,8,3440
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și sursa de referire",,,,,,,,,,,,,
,1. judecătorie/ probațiune/ poliție,2. medici de familie,3. alte centre de tratament pentru consumul de droguri,4. alte servicii de medicale sau sociale,5. servicii educaționale,"6. din proprie inițiativă, la recomandarea prietenilor, familiei",7. altele,99. nu știu/ lipsă,Total,,,,
1. Opioide (Total),124,3,3,36,0,581,89,2,838,,,,
2. Cocaină (Total),69,1,0,6,0,10,9,0,95,,,,
3. Stimulanți (alții decât cocaina) (Total),91,0,0,2,0,17,5,4,119,,,,
4. Hipnotice și sedative (Total),5,1,0,9,0,27,4,1,47,,,,
5. Halucinogene (Total),9,0,0,2,0,3,1,0,15,,,,
6. Substanțe volatile/ inhalanți,7,1,0,2,1,5,0,0,16,,,,
7. Canabis (Total),1570,9,2,74,3,195,61,13,1927,,,,
8. Alte substanțe (Total),102,11,2,74,0,128,63,3,383,,,,
TOTAL,1977,26,7,205,4,966,232,23,3440,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
