,,,,,,,,,,,,,,
Admiterea la tratament ca urmare a consumului de droguri,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și regimul de tratament",,,,,,,,,,,,,,
,regim ambulatoriu,regim internare,tratament în inchisori,Total,,,,,,,,,,
1. Opioide (Total),408,219,20,647,,,,,,,,,,
2. Cocaine (Total),57,25,2,84,,,,,,,,,,
3. Stimulants other than cocaine (Total),43,51,0,94,,,,,,,,,,
4. Hipnotice și sedative (Total),5,33,0,38,,,,,,,,,,
5. Halucinogene (Total),15,2,0,17,,,,,,,,,,
6. Substanțe volatile/ inhalanți,4,15,0,19,,,,,,,,,,
7. Canabis (Total),1469,332,0,1801,,,,,,,,,,
8. Alte substanțe (Total),126,269,2,397,,,,,,,,,,
TOTAL,2127,946,24,3097,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și sex",,,,,,,,,,,,,,
,Masculin,Feminin,Necunoscut,Total,,,,,,,,,,
1. Opioide (Total),560,87,0,647,,,,,,,,,,
2. Cocaine (Total),73,11,0,84,,,,,,,,,,
3. Stimulants other than cocaine (Total),69,25,0,94,,,,,,,,,,
4. Hipnotice și sedative (Total),24,14,0,38,,,,,,,,,,
5. Halucinogene (Total),14,3,0,17,,,,,,,,,,
6. Substanțe volatile/ inhalanți,16,3,0,19,,,,,,,,,,
7. Canabis (Total),1660,141,0,1801,,,,,,,,,,
8. Alte substanțe (Total),347,50,0,397,,,,,,,,,,
TOTAL,2763,334,0,3097,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și categoria de vârstă",,,,,,,,,,,,,,
,<15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Necunoscut,Total
1. Opioide (Total),0,6,46,57,163,192,135,35,8,1,1,3,0,647
2. Cocaine (Total),0,4,15,12,24,16,10,1,2,0,0,0,0,84
3. Stimulants other than cocaine (Total),6,24,25,16,13,6,1,2,1,0,0,0,0,94
4. Hipnotice și sedative (Total),0,5,9,4,3,2,3,2,5,2,0,3,0,38
5. Halucinogene (Total),0,2,8,2,2,1,1,1,0,0,0,0,0,17
6. Substanțe volatile/ inhalanți,3,7,4,1,4,0,0,0,0,0,0,0,0,19
7. Canabis (Total),5,259,630,437,287,122,48,8,2,0,1,2,0,1801
8. Alte substanțe (Total),17,91,80,96,63,32,11,6,1,0,0,0,0,397
TOTAL,31,398,817,625,559,371,209,55,19,3,2,8,0,3097
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și sursa de referire",,,,,,,,,,,,,,
,1. judecătorie/ probațiune/ poliție,2. medici de familie,3. alte centre de tratament pentru consumul de droguri,4. alte servicii de medicale sau sociale,5. servicii educaționale,"6. din proprie inițiativă, la recomandarea prietenilor, familiei",7. altele,99. nu știu/ lipsă,Total,,,,,
1. Opioide (Total),135,16,3,15,0,452,26,0,647,,,,,
2. Cocaină (Total),56,1,1,3,0,20,1,2,84,,,,,
3. Stimulanți (alții decât cocaina) (Total),44,3,1,14,0,31,1,0,94,,,,,
4. Hipnotice și sedative (Total),8,2,1,6,0,20,0,1,38,,,,,
5. Halucinogene (Total),13,0,0,0,0,4,0,0,17,,,,,
6. Substanțe volatile/ inhalanți,5,2,1,8,0,2,1,0,19,,,,,
7. Canabis (Total),1456,6,5,71,1,217,40,5,1801,,,,,
8. Alte substanțe (Total),131,11,3,101,3,106,22,20,397,,,,,
TOTAL,1848,41,15,218,4,852,91,28,3097,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și de condițiile de locuit - tipul locuinței",,,,,,,,,,,,,,
,1. locuință stabilă,"2. locuință instabilă și/ sau 
 fără locuință",3. în detenție,4. altele,99. nu știu/ lipsă,Total,,,,,,,,
1. Opioide (Total),576,20,46,0,5,647,,,,,,,,
2. Cocaină (Total),72,2,6,0,4,84,,,,,,,,
3. Stimulanți (alții decât cocaina) (Total),83,6,3,0,2,94,,,,,,,,
4. Hipnotice și sedative (Total),36,1,1,0,0,38,,,,,,,,
5. Halucinogene (Total),16,0,1,0,0,17,,,,,,,,
6. Substanțe volatile/ inhalanți,8,7,0,0,4,19,,,,,,,,
7. Canabis (Total),1699,24,66,0,12,1801,,,,,,,,
8. Alte substanțe (Total),321,27,20,0,29,397,,,,,,,,
TOTAL,2811,87,143,0,56,3097,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și nivelul educațional",,,,,,,,,,,,,,
,"1. nu a fost niciodată la școală/ studii primare incomplete 
 (ISCED 0)","2. studii primare absolvite
 (ISCED 1)","3. studii secundare absolvite
 (ISCED 2 
 și ISCED 3)","4. studii superioare absolvite
 (ISCED 4 
 până la ISCED 6)",99. nu știu/ lipsă,Total,,,,,,,,
1. Opioide (Total),157,207,268,5,10,647,,,,,,,,
2. Cocaină (Total),7,14,54,5,4,84,,,,,,,,
3. Stimulanți (alții decât cocaina) (Total),7,16,62,1,8,94,,,,,,,,
4. Hipnotice și sedative (Total),1,7,23,3,4,38,,,,,,,,
5. Halucinogene (Total),1,1,14,1,0,17,,,,,,,,
6. Substanțe volatile/ inhalanți,7,6,4,0,2,19,,,,,,,,
7. Canabis (Total),73,344,1305,56,23,1801,,,,,,,,
8. Alte substanțe (Total),64,151,137,4,41,397,,,,,,,,
TOTAL,317,746,1867,75,92,3097,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și statusul ocupațional",,,,,,,,,,,,,,
,1. angajat ocazional,2. angajat permanent,3. elev/ student,4. șomer/ fără ocupație,"5. asistat social/ 
 pensionar/ 
 casnic/ 
 pensionar medical",6. altele,99. nu știu/ lipsă,Total,,,,,,
1. Opioide (Total),144,78,9,4,3,0,409,647,,,,,,
2. Cocaină (Total),36,6,3,1,1,0,37,84,,,,,,
3. Stimulanți (alții decât cocaina) (Total),34,7,24,9,0,0,20,94,,,,,,
4. Hipnotice și sedative (Total),6,1,8,1,0,0,22,38,,,,,,
5. Halucinogene (Total),7,1,5,0,0,0,4,17,,,,,,
6. Substanțe volatile/ inhalanți,0,0,6,4,0,0,9,19,,,,,,
7. Canabis (Total),792,180,334,72,6,0,417,1801,,,,,,
8. Alte substanțe (Total),41,37,81,31,5,0,202,397,,,,,,
TOTAL,1060,310,470,122,15,0,1120,3097,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Urgențe medicale datorate consumului de droguri,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și sex",,,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,,
Masculin,497,171,107,500,,,,,,,,,,
Feminin,111,55,48,93,,,,,,,,,,
,,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și vârstă",,,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,,
<25,332,110,45,310,,,,,,,,,,
25-34,209,84,59,191,,,,,,,,,,
>35,67,32,51,92,,,,,,,,,,
